user_id,gender,age_group,occ_administrator,occ_artist,occ_doctor,occ_educator,occ_engineer,occ_entertainment,occ_executive,occ_healthcare,occ_homemaker,occ_lawyer,occ_librarian,occ_marketing,occ_none,occ_other,occ_programmer,occ_retired,occ_salesman,occ_scientist,occ_student,occ_technician,occ_writer,pref_unknown,pref_Action,pref_Adventure,pref_Animation,pref_Children's,pref_Comedy,pref_Crime,pref_Documentary,pref_Drama,pref_Fantasy,pref_Film-Noir,pref_Horror,pref_Musical,pref_Mystery,pref_Romance,pref_Sci-Fi,pref_Thriller,pref_War,pref_Western
10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.16,0.08,0.0,0.03,0.4,0.07,0.0,0.49,0.01,0.0,0.03,0.0,0.07,0.23,0.12,0.17,0.1,0.03
11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.27,0.14,0.02,0.05,0.27,0.04,0.0,0.49,0.0,0.0,0.0,0.06,0.06,0.25,0.13,0.24,0.14,0.04
12,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.24,0.11,0.03,0.08,0.29,0.07,0.02,0.39,0.02,0.03,0.06,0.05,0.05,0.18,0.11,0.18,0.07,0.03
13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.17,0.16,0.06,0.06,0.35,0.07,0.02,0.4,0.01,0.03,0.01,0.04,0.07,0.2,0.14,0.13,0.1,0.01
14,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.12,0.01,0.04,0.25,0.05,0.0,0.51,0.03,0.02,0.01,0.01,0.06,0.29,0.11,0.2,0.11,0.0
15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23,0.09,0.06,0.09,0.26,0.15,0.0,0.4,0.01,0.04,0.06,0.08,0.06,0.18,0.12,0.25,0.09,0.02
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.11,0.16,0.05,0.11,0.33,0.06,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.15,0.13,0.12,0.12,0.0
17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.09,0.06,0.05,0.07,0.35,0.05,0.01,0.54,0.01,0.01,0.01,0.08,0.03,0.24,0.05,0.08,0.1,0.01
18,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.24,0.13,0.0,0.07,0.63,0.0,0.0,0.54,0.0,0.0,0.08,0.06,0.0,0.21,0.06,0.1,0.06,0.07
19,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.45,0.31,0.08,0.15,0.23,0.03,0.0,0.32,0.03,0.0,0.02,0.09,0.02,0.15,0.19,0.26,0.16,0.0
20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.21,0.08,0.06,0.06,0.2,0.11,0.01,0.29,0.02,0.01,0.35,0.04,0.05,0.08,0.12,0.36,0.03,0.0
21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.58,0.28,0.0,0.02,0.5,0.07,0.0,0.17,0.0,0.01,0.04,0.04,0.01,0.16,0.23,0.2,0.13,0.04
22,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23,0.19,0.08,0.1,0.33,0.05,0.01,0.38,0.01,0.01,0.02,0.11,0.04,0.22,0.2,0.14,0.08,0.03
23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12,0.11,0.02,0.08,0.29,0.13,0.0,0.55,0.0,0.0,0.03,0.04,0.03,0.24,0.07,0.22,0.09,0.01
24,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.26,0.2,0.11,0.13,0.35,0.02,0.0,0.31,0.01,0.01,0.03,0.06,0.03,0.16,0.22,0.2,0.11,0.01
25,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.31,0.16,0.02,0.04,0.29,0.11,0.0,0.43,0.0,0.02,0.03,0.0,0.06,0.21,0.15,0.26,0.08,0.01
26,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.14,0.02,0.02,0.06,0.06,0.0,0.51,0.0,0.0,0.1,0.02,0.02,0.12,0.17,0.49,0.17,0.0
27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.33,0.2,0.02,0.03,0.13,0.08,0.0,0.24,0.01,0.01,0.28,0.05,0.03,0.09,0.35,0.41,0.07,0.01
28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.23,0.02,0.03,0.05,0.21,0.17,0.0,0.47,0.0,0.06,0.02,0.0,0.06,0.13,0.1,0.47,0.14,0.04
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.4,0.3,0.02,0.12,0.44,0.04,0.0,0.29,0.02,0.0,0.0,0.06,0.03,0.29,0.25,0.19,0.13,0.03
30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12,0.09,0.0,0.0,0.15,0.12,0.1,0.35,0.0,0.12,0.01,0.06,0.23,0.26,0.09,0.2,0.06,0.0
31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.36,0.24,0.04,0.04,0.34,0.1,0.0,0.38,0.0,0.0,0.04,0.0,0.04,0.23,0.25,0.24,0.12,0.0
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.47,0.04,0.0,0.0,0.03,0.12,0.0,0.38,0.0,0.0,0.2,0.0,0.21,0.18,0.18,0.63,0.11,0.0
33,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05,0.0,0.0,0.02,0.15,0.28,0.0,0.7,0.0,0.06,0.02,0.01,0.11,0.19,0.0,0.2,0.16,0.0
34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.45,0.13,0.0,0.12,0.24,0.09,0.0,0.29,0.0,0.0,0.0,0.0,0.17,0.12,0.07,0.48,0.09,0.0
35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.18,0.07,0.0,0.13,0.3,0.05,0.0,0.41,0.0,0.0,0.18,0.05,0.18,0.18,0.07,0.29,0.0,0.0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.87,0.34,0.0,0.0,0.05,0.16,0.0,0.14,0.01,0.02,0.05,0.0,0.02,0.18,0.28,0.46,0.1,0.0
37,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.24,0.21,0.1,0.29,0.36,0.01,0.0,0.2,0.03,0.01,0.12,0.12,0.02,0.17,0.09,0.17,0.05,0.01
38,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18,0.0,0.0,0.0,0.33,0.08,0.0,0.47,0.0,0.06,0.08,0.11,0.13,0.19,0.1,0.39,0.0,0.0
39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.2,0.05,0.0,0.04,0.33,0.09,0.0,0.54,0.0,0.03,0.01,0.0,0.1,0.09,0.12,0.33,0.09,0.0
40,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23,0.1,0.04,0.05,0.38,0.08,0.0,0.43,0.01,0.0,0.0,0.03,0.04,0.24,0.19,0.19,0.24,0.03
41,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.26,0.18,0.09,0.13,0.32,0.03,0.01,0.35,0.03,0.0,0.03,0.08,0.03,0.24,0.15,0.2,0.06,0.02
42,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.23,0.13,0.1,0.12,0.4,0.08,0.01,0.37,0.02,0.0,0.02,0.07,0.04,0.28,0.09,0.18,0.08,0.02
43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.29,0.22,0.07,0.1,0.27,0.07,0.01,0.34,0.01,0.01,0.07,0.09,0.06,0.16,0.26,0.22,0.14,0.01
44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.23,0.25,0.11,0.16,0.49,0.1,0.0,0.26,0.06,0.02,0.02,0.08,0.0,0.21,0.17,0.15,0.08,0.0
45,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.3,0.11,0.03,0.06,0.09,0.18,0.0,0.6,0.0,0.0,0.05,0.03,0.14,0.32,0.11,0.3,0.19,0.0
46,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.02,0.03,0.0,0.03,0.2,0.14,0.03,0.54,0.0,0.05,0.07,0.04,0.2,0.12,0.04,0.16,0.03,0.0
47,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.18,0.01,0.11,0.23,0.11,0.01,0.48,0.04,0.07,0.04,0.06,0.09,0.16,0.12,0.2,0.17,0.02
48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.11,0.07,0.1,0.14,0.41,0.14,0.01,0.36,0.02,0.02,0.07,0.1,0.04,0.14,0.1,0.18,0.02,0.0
49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.06,0.65,0.0,0.04,0.09,0.06,0.11,0.32,0.0,0.12,0.02,0.0
50,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.46,0.49,0.0,0.05,0.23,0.04,0.0,0.39,0.0,0.0,0.04,0.07,0.07,0.37,0.22,0.13,0.18,0.05
51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.14,0.13,0.05,0.07,0.2,0.05,0.0,0.56,0.0,0.04,0.01,0.05,0.07,0.15,0.13,0.15,0.1,0.0
52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.51,0.32,0.0,0.04,0.16,0.16,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.29,0.16,0.0
53,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43,0.2,0.05,0.04,0.16,0.14,0.0,0.37,0.03,0.02,0.04,0.0,0.13,0.19,0.19,0.45,0.09,0.0
54,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.78,0.39,0.0,0.0,0.04,0.16,0.0,0.22,0.0,0.07,0.0,0.0,0.01,0.13,0.32,0.45,0.23,0.0
55,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.39,0.23,0.1,0.12,0.4,0.04,0.0,0.22,0.02,0.01,0.06,0.06,0.02,0.19,0.22,0.22,0.07,0.03
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.29,0.17,0.05,0.12,0.43,0.08,0.0,0.24,0.02,0.0,0.02,0.03,0.02,0.13,0.18,0.24,0.11,0.0
57,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.16,0.11,0.04,0.03,0.38,0.09,0.04,0.44,0.01,0.02,0.02,0.02,0.05,0.22,0.12,0.19,0.08,0.01
58,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.12,0.03,0.06,0.26,0.07,0.01,0.46,0.01,0.03,0.07,0.04,0.04,0.19,0.11,0.2,0.09,0.03
59,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.13,0.02,0.08,0.23,0.04,0.0,0.42,0.02,0.04,0.06,0.08,0.08,0.17,0.15,0.19,0.12,0.02
60,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.31,0.11,0.0,0.1,0.24,0.03,0.0,0.39,0.0,0.0,0.0,0.0,0.19,0.16,0.08,0.42,0.05,0.0
61,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.27,0.18,0.02,0.06,0.25,0.07,0.01,0.5,0.02,0.01,0.03,0.05,0.03,0.23,0.17,0.19,0.13,0.01
62,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.14,0.08,0.04,0.06,0.35,0.04,0.02,0.47,0.0,0.01,0.01,0.03,0.05,0.22,0.09,0.2,0.06,0.0
63,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.19,0.04,0.09,0.27,0.09,0.02,0.4,0.02,0.0,0.06,0.07,0.03,0.18,0.17,0.18,0.14,0.02
64,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14,0.09,0.01,0.03,0.31,0.06,0.03,0.61,0.02,0.0,0.01,0.0,0.07,0.27,0.11,0.12,0.1,0.05
65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.42,0.2,0.02,0.02,0.23,0.08,0.0,0.38,0.0,0.0,0.03,0.01,0.02,0.2,0.23,0.32,0.14,0.0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.41,0.22,0.07,0.06,0.46,0.07,0.0,0.16,0.04,0.0,0.06,0.0,0.04,0.07,0.11,0.19,0.06,0.0
67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.27,0.18,0.02,0.02,0.17,0.04,0.0,0.59,0.01,0.0,0.04,0.02,0.03,0.39,0.19,0.15,0.21,0.0
68,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.28,0.14,0.01,0.02,0.18,0.17,0.04,0.45,0.0,0.02,0.06,0.02,0.06,0.19,0.16,0.33,0.08,0.0
69,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.37,0.28,0.16,0.24,0.31,0.04,0.02,0.22,0.04,0.01,0.06,0.16,0.03,0.17,0.26,0.17,0.1,0.0
70,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.12,0.12,0.0,0.01,0.21,0.13,0.0,0.65,0.0,0.06,0.0,0.01,0.05,0.23,0.22,0.1,0.1,0.01
71,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.29,0.13,0.01,0.02,0.15,0.13,0.02,0.52,0.01,0.04,0.01,0.01,0.09,0.13,0.1,0.31,0.11,0.04
72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.14,0.05,0.03,0.02,0.23,0.13,0.02,0.51,0.0,0.04,0.03,0.02,0.04,0.17,0.2,0.23,0.1,0.0
73,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.18,0.04,0.0,0.02,0.14,0.11,0.02,0.59,0.0,0.03,0.07,0.0,0.15,0.18,0.1,0.3,0.11,0.0
74,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.15,0.07,0.09,0.43,0.08,0.0,0.29,0.05,0.0,0.02,0.02,0.02,0.13,0.1,0.22,0.07,0.0
75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.11,0.05,0.0,0.0,0.14,0.16,0.01,0.6,0.0,0.01,0.04,0.01,0.11,0.24,0.22,0.22,0.08,0.01
76,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.35,0.24,0.02,0.04,0.23,0.05,0.0,0.42,0.0,0.04,0.03,0.04,0.04,0.18,0.23,0.19,0.19,0.01
77,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11,0.06,0.0,0.0,0.58,0.01,0.03,0.34,0.06,0.0,0.06,0.06,0.01,0.25,0.15,0.11,0.0,0.0
78,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09,0.05,0.02,0.02,0.24,0.04,0.05,0.7,0.0,0.0,0.01,0.02,0.05,0.27,0.1,0.11,0.1,0.0
79,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.03,0.0,0.03,0.19,0.07,0.0,0.66,0.03,0.0,0.07,0.0,0.01,0.27,0.06,0.17,0.14,0.0
80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.18,0.07,0.07,0.08,0.36,0.05,0.0,0.44,0.01,0.0,0.04,0.07,0.03,0.18,0.06,0.24,0.06,0.0
81,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.17,0.14,0.09,0.13,0.31,0.06,0.0,0.37,0.02,0.02,0.03,0.06,0.07,0.22,0.09,0.16,0.13,0.03
82,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.32,0.2,0.03,0.17,0.45,0.03,0.0,0.27,0.03,0.0,0.02,0.03,0.04,0.23,0.09,0.23,0.08,0.02
83,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.24,0.1,0.04,0.08,0.32,0.09,0.0,0.41,0.01,0.01,0.0,0.05,0.03,0.22,0.07,0.32,0.13,0.01
84,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15,0.1,0.04,0.08,0.3,0.04,0.01,0.53,0.01,0.02,0.02,0.09,0.05,0.19,0.09,0.09,0.12,0.03
85,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15,0.04,0.0,0.09,0.28,0.05,0.0,0.4,0.0,0.0,0.04,0.07,0.07,0.26,0.12,0.19,0.16,0.0
86,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.37,0.17,0.0,0.04,0.51,0.08,0.01,0.25,0.02,0.01,0.02,0.04,0.01,0.21,0.16,0.15,0.1,0.05
87,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.19,0.0,0.0,0.11,0.34,0.1,0.0,0.59,0.05,0.04,0.0,0.04,0.04,0.31,0.0,0.24,0.17,0.0
88,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.17,0.12,0.03,0.03,0.47,0.05,0.02,0.51,0.0,0.0,0.0,0.01,0.01,0.48,0.11,0.05,0.06,0.0
89,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.05,0.0,0.03,0.26,0.07,0.02,0.57,0.01,0.03,0.03,0.05,0.07,0.23,0.04,0.17,0.1,0.02
90,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.36,0.19,0.02,0.04,0.1,0.07,0.0,0.48,0.01,0.02,0.06,0.04,0.09,0.14,0.18,0.26,0.22,0.03
91,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.13,0.04,0.06,0.32,0.09,0.01,0.39,0.01,0.01,0.06,0.05,0.04,0.19,0.14,0.25,0.08,0.01
92,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21,0.16,0.12,0.21,0.45,0.0,0.0,0.4,0.04,0.0,0.0,0.0,0.0,0.31,0.16,0.04,0.1,0.0
93,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.23,0.11,0.05,0.09,0.3,0.09,0.01,0.43,0.01,0.03,0.07,0.06,0.04,0.16,0.11,0.17,0.09,0.04
94,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.27,0.19,0.06,0.16,0.29,0.03,0.01,0.36,0.02,0.01,0.05,0.09,0.03,0.21,0.12,0.15,0.12,0.03
95,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.27,0.09,0.02,0.08,0.22,0.13,0.04,0.34,0.02,0.07,0.09,0.02,0.05,0.18,0.21,0.28,0.13,0.01
96,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.26,0.23,0.08,0.07,0.32,0.04,0.04,0.32,0.02,0.03,0.06,0.05,0.06,0.1,0.33,0.22,0.08,0.05
97,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.08,0.0,0.0,0.93,0.05,0.0,0.2,0.0,0.0,0.0,0.07,0.08,0.22,0.03,0.08,0.06,0.05
98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.32,0.14,0.02,0.02,0.3,0.13,0.0,0.4,0.01,0.0,0.05,0.01,0.04,0.2,0.07,0.33,0.09,0.02
99,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.24,0.05,0.0,0.01,0.17,0.08,0.0,0.55,0.01,0.04,0.03,0.02,0.08,0.17,0.1,0.36,0.09,0.0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.34,0.31,0.05,0.09,0.33,0.02,0.0,0.28,0.04,0.0,0.04,0.02,0.02,0.26,0.16,0.24,0.08,0.02
101,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.46,0.22,0.07,0.08,0.32,0.11,0.0,0.19,0.02,0.02,0.13,0.06,0.05,0.15,0.22,0.27,0.08,0.02
102,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.54,0.3,0.0,0.0,0.28,0.12,0.0,0.25,0.0,0.0,0.03,0.0,0.03,0.21,0.3,0.23,0.21,0.0
103,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.22,0.1,0.0,0.0,0.3,0.17,0.01,0.55,0.0,0.03,0.02,0.01,0.09,0.19,0.12,0.22,0.08,0.0
104,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21,0.03,0.0,0.0,0.09,0.14,0.0,0.55,0.0,0.06,0.1,0.0,0.23,0.22,0.21,0.36,0.12,0.0
105,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.18,0.12,0.02,0.06,0.3,0.06,0.01,0.65,0.0,0.0,0.0,0.0,0.02,0.27,0.01,0.14,0.1,0.03
106,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.09,0.03,0.0,0.03,0.27,0.24,0.0,0.47,0.0,0.06,0.09,0.0,0.3,0.12,0.14,0.36,0.06,0.0
107,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.31,0.18,0.03,0.06,0.27,0.07,0.0,0.47,0.0,0.0,0.0,0.07,0.06,0.33,0.19,0.16,0.19,0.0
